schema_version,study_name,run_id,tier,run_mode,policy_tag,method_variant,attention_enabled,attention_mode,attention_strength,attention_weight_summary,attention_pair_id,attention_pair_complete,split_id,seed,data_seed,data_seed_test,trace_id,trace_hash,manifest_hash,settings_hash,checkpoint_load_status,checkpoint_path,checkpoint_hash,checkpoint_required,checkpoint_intentional_mismatch,pricing,hgs_reopt_time,hgs_final_time,menu_k,max_candidates,filter_mode,effective_policy,menu_selection_solver_effective,solver_fallback_reason,exact_enumerated_menu_count,relative_optimality_gap,menu_overlap_rate,menu_build_time,acceptance_rate,optout_rate,home_share,meeting_point_uptake_rate,count_opted_out,count_accepted_home,count_accepted_meeting_point,charge_revenue,discount_cost,net_price_revenue,net_objective_proxy,service_time_total,uptake_regime,diagnostic,comparison_role,cost_bound,placeholder_only,status,execution_status,git_commit,git_dirty,git_status_summary
normalized-row-v1,pilot_attention_dspo,pilot_attention_dspo-20260611T105742Z-07415c4f,pilot,pilot,DSPO_original,DSPO_original,False,deterministic,1.0,{},attnpair-0d16e0faa86450de,True,pilot_attention_rc_low_seed0,211,0,1,trace-74261ed979d604,tracehash-74261ed979d604593406bbb1424a48fb,07415c4ff2ed16244fb5bcf08fcb64c86137e20b37575cba7c5ab212f23ed32f,settings-febaaee2cf2a4dd4,failed,outputs/shared_training/work2_attention_dspo/pilot/supervised_ml.pt,,True,False,True,0.2,0.2,3,8,chance_constraint,risk_adjusted_expected_profit,not_executed,missing_checkpoint_file,,,,,,,,,,,,,,,0.0,,low,False,method,False,True,blocked,blocked,cdb1bf8d21368e9ac8b4c73610b62114db67f1dd,True,M .planning/PROJECT.md;  M .planning/REQUIREMENTS.md;  M .planning/ROADMAP.md;  M .planning/STATE.md;  M artifacts/work2_robust_menu/ARTIFACT_STATUS.json;  M artifacts/work2_robust_menu/README.md;  M artifacts/work2_robust_menu/aggregates/policy_summary.csv.metadata.json;  M artifacts/work2_robust_menu/aggregates/policy_summary.json.metadata.json;  M artifacts/work2_robust_menu/aggregates/recommended_policy_ranking.json.metadata.json;  M artifacts/work2_robust_menu/figures/acceptance_optout.png.status.json;  M artifacts/work2_robust_menu/figures/eta_pruning.png.status.json;  M artifacts/work2_robust_menu/figures/exact_greedy_time.png.status.json;  M artifacts/work2_robust_menu/figures/home_only_share.png.status.json;  M artifacts/work2_robust_menu/figures/profit_gap.png.status.json;  M artifacts/work2_robust_menu/manuscript/CLAIM_GUARD.json;  M artifacts/work2_robust_menu/tables/exact_greedy.tex.metadata.json;  M artifacts/work2_robust_menu/tables/policy_summary.tex.metadata.json;  M artifacts/work2_robust_menu/tables/provenance_status.tex.metadata.json;  M artifacts/work2_robust_menu/tables/robust_filtering.tex.metadata.json;  M artifacts/work2_robust_menu/tables/uptake_regime.tex.metadata.json
normalized-row-v1,pilot_attention_dspo,pilot_attention_dspo-20260611T105742Z-07415c4f,pilot,pilot,DSPO_attention,DSPO_attention,True,deterministic,1.0,{},attnpair-0d16e0faa86450de,True,pilot_attention_rc_low_seed0,211,0,1,trace-74261ed979d604,tracehash-74261ed979d604593406bbb1424a48fb,07415c4ff2ed16244fb5bcf08fcb64c86137e20b37575cba7c5ab212f23ed32f,settings-8b733c404de8a7ae,failed,outputs/shared_training/work2_attention_dspo/pilot/supervised_ml.pt,,True,False,True,0.2,0.2,3,8,chance_constraint,risk_adjusted_expected_profit,not_executed,missing_checkpoint_file,,,,,,,,,,,,,,,0.0,,low,False,method,False,True,blocked,blocked,cdb1bf8d21368e9ac8b4c73610b62114db67f1dd,True,M .planning/PROJECT.md;  M .planning/REQUIREMENTS.md;  M .planning/ROADMAP.md;  M .planning/STATE.md;  M artifacts/work2_robust_menu/ARTIFACT_STATUS.json;  M artifacts/work2_robust_menu/README.md;  M artifacts/work2_robust_menu/aggregates/policy_summary.csv.metadata.json;  M artifacts/work2_robust_menu/aggregates/policy_summary.json.metadata.json;  M artifacts/work2_robust_menu/aggregates/recommended_policy_ranking.json.metadata.json;  M artifacts/work2_robust_menu/figures/acceptance_optout.png.status.json;  M artifacts/work2_robust_menu/figures/eta_pruning.png.status.json;  M artifacts/work2_robust_menu/figures/exact_greedy_time.png.status.json;  M artifacts/work2_robust_menu/figures/home_only_share.png.status.json;  M artifacts/work2_robust_menu/figures/profit_gap.png.status.json;  M artifacts/work2_robust_menu/manuscript/CLAIM_GUARD.json;  M artifacts/work2_robust_menu/tables/exact_greedy.tex.metadata.json;  M artifacts/work2_robust_menu/tables/policy_summary.tex.metadata.json;  M artifacts/work2_robust_menu/tables/provenance_status.tex.metadata.json;  M artifacts/work2_robust_menu/tables/robust_filtering.tex.metadata.json;  M artifacts/work2_robust_menu/tables/uptake_regime.tex.metadata.json
normalized-row-v1,pilot_attention_dspo,pilot_attention_dspo-20260611T105742Z-07415c4f,pilot,pilot,DSPO_original,DSPO_original,False,deterministic,1.0,{},attnpair-8755c719b770cd89,True,pilot_attention_rc_medium_seed1,212,1,0,trace-e4b51e5e6bf4e0,tracehash-e4b51e5e6bf4e082db4661686d5fe4ad,07415c4ff2ed16244fb5bcf08fcb64c86137e20b37575cba7c5ab212f23ed32f,settings-0652a17e67427e93,failed,outputs/shared_training/work2_attention_dspo/pilot/supervised_ml.pt,,True,False,True,0.2,0.2,3,8,chance_constraint,risk_adjusted_expected_profit,not_executed,missing_checkpoint_file,,,,,,,,,,,,,,,0.0,,medium,False,method,False,True,blocked,blocked,cdb1bf8d21368e9ac8b4c73610b62114db67f1dd,True,M .planning/PROJECT.md;  M .planning/REQUIREMENTS.md;  M .planning/ROADMAP.md;  M .planning/STATE.md;  M artifacts/work2_robust_menu/ARTIFACT_STATUS.json;  M artifacts/work2_robust_menu/README.md;  M artifacts/work2_robust_menu/aggregates/policy_summary.csv.metadata.json;  M artifacts/work2_robust_menu/aggregates/policy_summary.json.metadata.json;  M artifacts/work2_robust_menu/aggregates/recommended_policy_ranking.json.metadata.json;  M artifacts/work2_robust_menu/figures/acceptance_optout.png.status.json;  M artifacts/work2_robust_menu/figures/eta_pruning.png.status.json;  M artifacts/work2_robust_menu/figures/exact_greedy_time.png.status.json;  M artifacts/work2_robust_menu/figures/home_only_share.png.status.json;  M artifacts/work2_robust_menu/figures/profit_gap.png.status.json;  M artifacts/work2_robust_menu/manuscript/CLAIM_GUARD.json;  M artifacts/work2_robust_menu/tables/exact_greedy.tex.metadata.json;  M artifacts/work2_robust_menu/tables/policy_summary.tex.metadata.json;  M artifacts/work2_robust_menu/tables/provenance_status.tex.metadata.json;  M artifacts/work2_robust_menu/tables/robust_filtering.tex.metadata.json;  M artifacts/work2_robust_menu/tables/uptake_regime.tex.metadata.json
normalized-row-v1,pilot_attention_dspo,pilot_attention_dspo-20260611T105742Z-07415c4f,pilot,pilot,DSPO_attention,DSPO_attention,True,deterministic,1.0,{},attnpair-8755c719b770cd89,True,pilot_attention_rc_medium_seed1,212,1,0,trace-e4b51e5e6bf4e0,tracehash-e4b51e5e6bf4e082db4661686d5fe4ad,07415c4ff2ed16244fb5bcf08fcb64c86137e20b37575cba7c5ab212f23ed32f,settings-9785cee3e29d16b9,failed,outputs/shared_training/work2_attention_dspo/pilot/supervised_ml.pt,,True,False,True,0.2,0.2,3,8,chance_constraint,risk_adjusted_expected_profit,not_executed,missing_checkpoint_file,,,,,,,,,,,,,,,0.0,,medium,False,method,False,True,blocked,blocked,cdb1bf8d21368e9ac8b4c73610b62114db67f1dd,True,M .planning/PROJECT.md;  M .planning/REQUIREMENTS.md;  M .planning/ROADMAP.md;  M .planning/STATE.md;  M artifacts/work2_robust_menu/ARTIFACT_STATUS.json;  M artifacts/work2_robust_menu/README.md;  M artifacts/work2_robust_menu/aggregates/policy_summary.csv.metadata.json;  M artifacts/work2_robust_menu/aggregates/policy_summary.json.metadata.json;  M artifacts/work2_robust_menu/aggregates/recommended_policy_ranking.json.metadata.json;  M artifacts/work2_robust_menu/figures/acceptance_optout.png.status.json;  M artifacts/work2_robust_menu/figures/eta_pruning.png.status.json;  M artifacts/work2_robust_menu/figures/exact_greedy_time.png.status.json;  M artifacts/work2_robust_menu/figures/home_only_share.png.status.json;  M artifacts/work2_robust_menu/figures/profit_gap.png.status.json;  M artifacts/work2_robust_menu/manuscript/CLAIM_GUARD.json;  M artifacts/work2_robust_menu/tables/exact_greedy.tex.metadata.json;  M artifacts/work2_robust_menu/tables/policy_summary.tex.metadata.json;  M artifacts/work2_robust_menu/tables/provenance_status.tex.metadata.json;  M artifacts/work2_robust_menu/tables/robust_filtering.tex.metadata.json;  M artifacts/work2_robust_menu/tables/uptake_regime.tex.metadata.json
