study_name,study_type,study_role,suite_name,suite_run_id,run_id,timestamp_utc,manifest_hash,code_version_marker,split_id,train_split,test_split,seed,trace_seed,variant_tag,variant_label,policy,menu_k,candidate_pool_size,displayed_meeting_points,home_always_shown,ablation_tag,is_reference,reference_tag,reference_policy,paired_reference_policy,paired_baseline_policy,checkpoint_path,checkpoint_reused,checkpoint_source,is_behavior_non_degenerate,episodes,served_customers,travel_time,travel_cost,service_cost,failure_cost,discount_cost,charge_revenue,total_cost,net_profit,adjusted_profit,quit_penalty_total,service_quit_rate_guardrail,service_guardrail_pass,service_guardrail_violation,service_constrained_net_profit,home_pickup_count,menu_request_count,opt_out_count,average_menu_size,avg_meeting_point_count_per_menu,home_pickup_only_share,home_pickup_only_with_feasible_meeting_point_share,home_pickup_share,avg_walk_distance,avg_pickup_time_deviation,avg_in_vehicle_time,avg_chosen_predicted_cost,avg_chosen_price,avg_menu_build_time,avg_step_time,opt_out_rate,acceptance_rate,non_home_acceptance_rate,consumer_surplus,price_at_floor_fraction,price_at_ceil_fraction,mean_net_profit_gap_vs_reference,mean_total_cost_gap_vs_reference,net_profit_win_rate_vs_reference,net_profit_gap_ci95_half_width_vs_reference,mean_net_profit_gap_vs_baseline,mean_total_cost_gap_vs_baseline,net_profit_win_rate_vs_baseline,net_profit_gap_ci95_half_width_vs_baseline,avg_fn_pruning_rate,avg_fn_pruned_near,avg_fn_pruned_mid,avg_fn_pruned_far,avg_eta_mae,avg_ivt_mae,avg_displayed_eta_mae,avg_displayed_ivt_mae,avg_displayed_eta_bias,avg_displayed_ivt_bias,displayed_eta_p50,displayed_eta_p90,displayed_eta_p95,displayed_ivt_p50,displayed_ivt_p90,displayed_ivt_p95,exact_gap_logged_share,avg_exact_menu_value,avg_greedy_menu_value,avg_relative_optimality_gap,avg_menu_overlap_rate,avg_exact_build_time,avg_greedy_build_time,avg_exact_gap_candidate_count,avg_exact_enumerated_menu_count,service_constrained_fallback_rate,avg_service_constrained_predicted_opt_out,avg_service_constrained_adjusted_profit,cost_pred_mae,cost_pred_rmse,spearman_cost_ranking,top_L_overlap,ndcg_at_L,menu_regret,cost_pred_n_samples,offer_trace_count,avg_offer_predicted_cost,avg_offer_menu_eval_cost,avg_offer_system_eval_cost,avg_offer_system_minus_menu_cost,avg_offer_price,avg_offer_choice_probability,avg_offer_expected_profit,avg_selected_offer_expected_profit,avg_unselected_offer_expected_profit,split_count,split_ids,display_label
work2_phase3_expected_profit_smoke,policy_compare,support,,,20260604T071357Z_7e5b61dc,,7e5b61dc05f63ea8ca18923d70aa8f067570747e,nogit-57f7e168afa4,,,,,,cnn_menu,CNN-Menu,top_k_cheapest,3,,,,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,False,1.0,374.0,293160.0,2491.86,1060.6979999999994,534.0,1181.1940715807305,173.82333143472934,5093.928740146001,-5093.928740146001,-18093.928740146002,13000.0,0.4,1.0,0.0,-5093.928740146001,267.0,374.0,130.0,4.0,3.0,0.0,0.0,0.713903743315508,2285.133689839572,3495.1494325123836,3486.963243978865,38.95283541974848,-3.8915431346591984,0.031720682880268455,0.03446838307508173,0.34759358288770054,0.6524064171122994,0.28609625668449196,-1.0321421517889358,0.7049180327868853,0.13524590163934427,-752.0628088245849,752.062808824584,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1330.5432824467387,1059.9663876868854,1534.1692382666197,1263.127665112044,1534.1692382666197,-1263.127665112044,1740.8283291757107,2549.3283291757107,2748.8283291757107,1471.3308736681938,2269.330873668194,2479.330873668194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.74040673934589,460.5949106818507,0.8342245989304813,1.0,1.0,38.60688526829965,1122.0,1496.0,19.791970789977427,20.291970789977427,20.320097289995445,0.028126500018016205,-2.525640208276673,0.14563409865572288,-2.648692430198396,-3.235853137156756,-2.4529721945456093,1,seed0,CNN-Menu
work2_phase3_expected_profit_smoke,policy_compare,support,,,20260604T071357Z_7e5b61dc,,7e5b61dc05f63ea8ca18923d70aa8f067570747e,nogit-57f7e168afa4,,,,,,cost_L,Cost-L heuristic,cost_l_heuristic,3,,,,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,False,1.0,374.0,299040.0,2541.84,1037.1257999999996,520.0,1182.2024180196745,158.10170862384052,5123.066509395834,-5123.066509395834,-18323.066509395834,13200.0,0.4,1.0,0.0,-5123.066509395834,260.0,374.0,132.0,4.0,3.0,0.0,0.0,0.6951871657754011,2066.951871657754,3489.015298886474,3449.2145808772607,38.70158759502229,-3.88203465789011,0.03209411310104225,0.03484102047700933,0.35294117647058826,0.6470588235294117,0.3048128342245989,-1.0579552783014812,0.7355371900826446,0.11983471074380166,-781.2005780744184,781.2005780744175,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1302.5914870704476,1032.9098210366149,1360.3109494965663,1090.4485207270172,1360.3109494965663,-1090.4485207270172,1614.8283291757107,1782.8283291757107,1782.8283291757107,1345.3308736681938,1513.3308736681938,1513.3308736681938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.57273991934838,465.733775213801,0.04144385026737968,1.0,1.0,35.01333209901383,1122.0,1496.0,21.658401434225254,22.158401434225254,22.16505066152457,0.006649227299309286,-2.5555420474193054,0.14617031867120622,-2.9852709010582337,-3.6135810089818454,-2.7758341984170296,1,seed0,Cost-L
work2_phase3_expected_profit_smoke,policy_compare,support,,,20260604T071357Z_7e5b61dc,,7e5b61dc05f63ea8ca18923d70aa8f067570747e,nogit-57f7e168afa4,,,,,,cost_oracle,Cost Oracle,cost_oracle,3,,,,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,False,1.0,374.0,299040.0,2541.84,1037.1257999999996,520.0,1182.2024180196745,158.10170862384052,5123.066509395834,-5123.066509395834,-18323.066509395834,13200.0,0.4,1.0,0.0,-5123.066509395834,260.0,374.0,132.0,4.0,3.0,0.0,0.0,0.6951871657754011,2066.951871657754,3489.015298886474,3449.2145808772607,38.70158759502229,-3.88203465789011,0.032254809625123074,0.03503594806487548,0.35294117647058826,0.6470588235294117,0.3048128342245989,-1.0579552783014812,0.7355371900826446,0.11983471074380166,-781.2005780744184,781.2005780744175,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1302.5914870704476,1032.9098210366149,1360.3109494965663,1090.4485207270172,1360.3109494965663,-1090.4485207270172,1614.8283291757107,1782.8283291757107,1782.8283291757107,1345.3308736681938,1513.3308736681938,1513.3308736681938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.57273991934838,465.733775213801,0.04144385026737968,1.0,1.0,35.01333209901383,1122.0,1496.0,21.658401434225254,22.158401434225254,22.16505066152457,0.006649227299309286,-2.5555420474193054,0.14617031867120622,-2.9852709010582337,-3.6135810089818454,-2.7758341984170296,1,seed0,Cost Oracle
work2_phase3_expected_profit_smoke,policy_compare,support,,,20260604T071357Z_7e5b61dc,,7e5b61dc05f63ea8ca18923d70aa8f067570747e,nogit-57f7e168afa4,,,,,,expected_profit_enumeration,Expected-Profit Enumeration,expected_profit_enumeration,3,,,,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,False,1.0,374.0,288120.0,2449.02,1081.4345999999996,554.0,1205.7355389889997,108.20582962379088,5181.984309365208,-5181.984309365209,-19081.98430936521,13900.0,0.4,1.0,0.0,-5181.984309365209,277.0,374.0,139.0,4.0,3.0,0.0,0.0,0.7406417112299465,1780.1069518716577,3437.307156895865,3659.2306236580093,36.9185032974437,-4.237746587123784,0.059658825129175926,0.06232349566597352,0.3716577540106952,0.6283422459893049,0.25935828877005346,-1.1675847971970308,0.7574468085106383,0.08085106382978724,-840.1183780437932,840.1183780437914,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1521.8437930932364,1250.9391210908743,2203.567633988545,1925.170445860707,2203.567633988545,-1925.170445860707,1782.8283291757107,3515.3283291757107,3515.3283291757107,1513.3308736681938,3235.330873668194,3235.330873668194,1.0,-9.377265744838109,0.0,0.0,0.0,0.0,0.0,10.0,120.0,0.0,0.0,0.0,146.54668738140344,526.5381088140714,0.34893048128342247,1.0,1.0,36.207362893356276,1122.0,1496.0,19.05508586577871,19.55508586577871,19.71718963851704,0.1621037727383288,-2.5000146204637272,0.14225167968283617,-2.3443164362095272,-2.053187863440996,-2.4413592937990383,1,seed0,Expected-Profit Enumeration
work2_phase3_expected_profit_smoke,policy_compare,support,,,20260604T071357Z_7e5b61dc,,7e5b61dc05f63ea8ca18923d70aa8f067570747e,nogit-57f7e168afa4,,,,,,full_display,full display,offer_all_feasible_bundles,3,,,,,True,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,False,1.0,374.0,281640.0,2393.94,725.7860999999998,354.0,1152.877382699653,284.73755137823645,4341.865931321417,-4341.865931321416,-13941.865931321416,9600.0,0.4,1.0,0.0,-4341.865931321416,177.0,374.0,96.0,11.0,10.0,0.0,0.0,0.4732620320855615,4369.090909090909,3132.4757684829906,3891.770730609881,24.350253987641075,-2.8238970595534787,0.03181656737585258,0.03489614425495984,0.25668449197860965,0.7433155080213903,0.5267379679144385,-0.7807012871595472,0.539568345323741,0.18705035971223022,,,,,,,,,0.0,0.0,0.0,0.0,2061.797872322919,1783.239503109818,2463.6073398708977,2181.130873668194,2463.6073398708977,-2181.130873668194,2748.8283291757107,3504.8283291757107,3515.3283291757107,2374.330873668194,3235.330873668194,3235.330873668194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.21960404796897,1534.7239501789422,0.5831145681413061,0.7183600713012478,1.0,15.153496982754588,3740.0,4114.0,10.027343163630501,10.209161345448683,10.49571275042581,0.2865514049771254,-2.245206653828076,0.05974209717832522,-1.0881905520895527,-0.8315464719893751,-1.1138549600995704,1,seed0,full display
work2_phase3_expected_profit_smoke,policy_compare,support,,,20260604T071357Z_7e5b61dc,,7e5b61dc05f63ea8ca18923d70aa8f067570747e,nogit-57f7e168afa4,,,,,,nearest_L,Nearest-L,nearest_heuristic,3,,,,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,False,1.0,374.0,276960.0,2354.1600000000003,1113.8756999999996,566.0,1187.7127492157128,163.53776958153506,5058.210679634178,-5058.210679634178,-18558.210679634176,13500.0,0.4,1.0,0.0,-5058.210679634178,283.0,374.0,135.0,4.0,3.0,0.0,0.0,0.7566844919786097,1159.8930481283423,3262.710257740248,3837.963243978865,30.22651975680493,-4.124630965307731,0.03229445240579864,0.035020301048768396,0.3609625668449198,0.6390374331550802,0.24331550802139038,-1.0713127402031146,0.7447698744769874,0.1297071129707113,-716.344748312762,716.3447483127611,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1855.636021483403,1575.6385659758862,2135.4112168762454,1847.6838148446643,2135.4112168762454,-1847.6838148446643,1782.8283291757107,3504.8283291757107,3515.3283291757107,1513.3308736681938,3235.330873668194,3235.330873668194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.99643461645815,1522.9501027986712,0.3609625668449198,1.0,1.0,28.534267892814245,1122.0,1496.0,15.114003125791054,15.614003125791054,15.946050080345586,0.33204695455453487,-2.001639665116573,0.14098949021354729,-1.7832966631526836,-1.6125451985949901,-1.840213818005248,1,seed0,Nearest-L
work2_phase3_expected_profit_smoke,policy_compare,support,,,20260604T071357Z_7e5b61dc,,7e5b61dc05f63ea8ca18923d70aa8f067570747e,nogit-57f7e168afa4,,,,,,profit_oracle,Profit Oracle,profit_oracle,3,,,,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,False,1.0,374.0,288360.0,2451.0600000000004,1075.8245999999997,550.0,1192.827690556815,114.68214282942854,5155.030147727387,-5155.030147727387,-19055.030147727386,13900.0,0.4,1.0,0.0,-5155.030147727387,275.0,374.0,139.0,4.0,3.0,0.0,0.0,0.7352941176470589,1797.433155080214,3493.2808175948435,3596.6637787382233,143.4249320855614,-4.146650285288215,0.059030783961571874,0.06166357535091951,0.3716577540106952,0.6283422459893049,0.2647058823529412,-1.1469633486461557,0.7829787234042553,0.0851063829787234,-813.1642164059713,813.1642164059704,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1423.601056448438,1152.7248130621333,2118.4072061810584,1836.41643516552,2118.4072061810584,-1836.41643516552,1782.8283291757107,3515.3283291757107,3515.3283291757107,1513.3308736681938,3235.330873668194,3235.330873668194,1.0,-38.025016853757755,0.0,0.0,0.0,0.0,0.0,10.0,120.0,0.0,0.0,0.0,195.43684491978615,647.6310180092523,1.0,1.0,1.0,128.0106604255319,1122.0,1496.0,69.57794518716574,70.07794518716574,70.3055035053603,0.22755831819455216,-2.4506218440729173,0.14256575719707132,-9.506254213439435,-15.415178319770552,-7.5366128446624,1,seed0,Profit Oracle
work2_phase3_expected_profit_smoke,policy_compare,support,,,20260604T071357Z_7e5b61dc,,7e5b61dc05f63ea8ca18923d70aa8f067570747e,nogit-57f7e168afa4,,,,,,service_constrained_expected_profit,Service-Constrained Expected-Profit,service_constrained_expected_profit,3,,,,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,,,,False,1.0,374.0,291240.0,2475.54,1047.1625999999994,528.0,1221.028753920718,128.20582964990288,5143.5255242708145,-5143.5255242708145,-18143.525524270815,13000.0,0.4,1.0,0.0,-5143.5255242708145,264.0,374.0,130.0,4.0,3.0,0.0,0.0,0.7058823529411765,2088.4491978609626,3506.068941628962,3455.2627092195066,38.68839079986663,-4.0682501473598185,0.06053118583158575,0.06321065821112158,0.34759358288770054,0.6524064171122994,0.29411764705882354,-1.1196956191299334,0.7295081967213115,0.0942622950819672,-801.6595929493988,801.6595929493978,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1302.3101473575289,1031.8581463954665,1622.445976234534,1348.2132266093704,1622.445976234534,-1348.2132266093704,1614.8283291757107,3294.8283291757107,3515.3283291757107,1345.3308736681938,2983.330873668194,3235.330873668194,1.0,-10.332427173209238,0.0,0.0,0.0,0.0,0.0,10.0,120.0,0.4839572192513369,0.4170540330714914,-52.03783048035839,145.77740266537995,498.32703411700464,0.3235294117647059,1.0,1.0,34.92369537755297,1122.0,1496.0,19.11819213068635,19.61819213068635,19.70444363070648,0.08625150002012866,-2.6605114424417513,0.14573649173212716,-2.58310679330231,-3.224525063850839,-2.3693007031194653,1,seed0,Service-Constrained Expected-Profit
