split_id,uptake_regime,baseline_policy,metric,adaptive_value,baseline_value,diff_adaptive_minus_baseline,direction
formal_mainline_low_seed0,low,mainline_optimized_fixed_window,optout_rate,0.475331,0.475331,0.000000,tie
formal_mainline_low_seed0,low,mainline_optimized_fixed_window,home_share,0.474128,0.474128,0.000000,tie
formal_mainline_low_seed0,low,mainline_optimized_fixed_window,meeting_point_uptake_rate,0.050542,0.050542,0.000000,tie
formal_mainline_low_seed0,low,mainline_optimized_fixed_window,service_time_total,179037.600000,179037.600000,0.000000,tie
formal_mainline_low_seed1,low,mainline_no_menu,net_profit,-193134.759882,-189414.600000,-3720.159882,baseline_better
formal_mainline_low_seed1,low,mainline_no_menu,operational_cost,193019.400000,189414.600000,3604.800000,baseline_better
formal_mainline_low_seed1,low,mainline_no_menu,total_cost,194338.992145,189414.600000,4924.392145,baseline_better
formal_mainline_low_seed1,low,mainline_no_menu,acceptance_rate,0.508830,0.524051,-0.015221,baseline_better
formal_mainline_low_seed1,low,mainline_no_menu,served_rate,0.508830,0.524051,-0.015221,baseline_better
formal_mainline_low_seed1,low,mainline_no_menu,optout_rate,0.491170,0.475949,0.015221,baseline_better
formal_mainline_low_seed1,low,mainline_no_menu,home_share,0.467991,0.524051,-0.056059,baseline_better
formal_mainline_low_seed1,low,mainline_no_menu,meeting_point_uptake_rate,0.040839,0.000000,0.040839,adaptive_better
formal_mainline_low_seed1,low,mainline_no_menu,service_time_total,193019.400000,189414.600000,3604.800000,baseline_better
formal_mainline_low_seed1,low,mainline_fixed_menu,net_profit,-193134.759882,-193246.759257,111.999374,adaptive_better
formal_mainline_low_seed1,low,mainline_fixed_menu,operational_cost,193019.400000,193243.200000,-223.800000,adaptive_better
formal_mainline_low_seed1,low,mainline_fixed_menu,total_cost,194338.992145,194429.290878,-90.298732,adaptive_better
formal_mainline_low_seed1,low,mainline_fixed_menu,acceptance_rate,0.508830,0.527273,-0.018443,baseline_better
formal_mainline_low_seed1,low,mainline_fixed_menu,served_rate,0.508830,0.527273,-0.018443,baseline_better
formal_mainline_low_seed1,low,mainline_fixed_menu,optout_rate,0.491170,0.472727,0.018443,baseline_better
formal_mainline_low_seed1,low,mainline_fixed_menu,home_share,0.467991,0.492121,-0.024130,baseline_better
formal_mainline_low_seed1,low,mainline_fixed_menu,meeting_point_uptake_rate,0.040839,0.035152,0.005687,adaptive_better
formal_mainline_low_seed1,low,mainline_fixed_menu,service_time_total,193019.400000,193243.200000,-223.800000,adaptive_better
formal_mainline_low_seed1,low,mainline_random_menu,net_profit,-193134.759882,-185623.811685,-7510.948197,baseline_better
formal_mainline_low_seed1,low,mainline_random_menu,operational_cost,193019.400000,185674.800000,7344.600000,baseline_better
formal_mainline_low_seed1,low,mainline_random_menu,total_cost,194338.992145,186793.076560,7545.915585,baseline_better
formal_mainline_low_seed1,low,mainline_random_menu,acceptance_rate,0.508830,0.491289,0.017541,adaptive_better
formal_mainline_low_seed1,low,mainline_random_menu,served_rate,0.508830,0.491289,0.017541,adaptive_better
formal_mainline_low_seed1,low,mainline_random_menu,optout_rate,0.491170,0.508711,-0.017541,adaptive_better
formal_mainline_low_seed1,low,mainline_random_menu,home_share,0.467991,0.454123,0.013868,adaptive_better
formal_mainline_low_seed1,low,mainline_random_menu,meeting_point_uptake_rate,0.040839,0.037166,0.003673,adaptive_better
formal_mainline_low_seed1,low,mainline_random_menu,service_time_total,193019.400000,185674.800000,7344.600000,baseline_better
formal_mainline_low_seed1,low,mainline_optimized_m,net_profit,-193134.759882,-193309.800000,175.040118,adaptive_better
formal_mainline_low_seed1,low,mainline_optimized_m,operational_cost,193019.400000,193309.800000,-290.400000,adaptive_better
formal_mainline_low_seed1,low,mainline_optimized_m,total_cost,194338.992145,193309.800000,1029.192145,baseline_better
formal_mainline_low_seed1,low,mainline_optimized_m,acceptance_rate,0.508830,0.509029,-0.000199,baseline_better
formal_mainline_low_seed1,low,mainline_optimized_m,served_rate,0.508830,0.509029,-0.000199,baseline_better
formal_mainline_low_seed1,low,mainline_optimized_m,optout_rate,0.491170,0.490971,0.000199,baseline_better
formal_mainline_low_seed1,low,mainline_optimized_m,home_share,0.467991,0.479684,-0.011693,baseline_better
formal_mainline_low_seed1,low,mainline_optimized_m,meeting_point_uptake_rate,0.040839,0.029345,0.011493,adaptive_better
formal_mainline_low_seed1,low,mainline_optimized_m,service_time_total,193019.400000,193309.800000,-290.400000,adaptive_better
formal_mainline_low_seed1,low,mainline_optimized_mw,net_profit,-193134.759882,-185400.000000,-7734.759882,baseline_better
formal_mainline_low_seed1,low,mainline_optimized_mw,operational_cost,193019.400000,185400.000000,7619.400000,baseline_better
formal_mainline_low_seed1,low,mainline_optimized_mw,total_cost,194338.992145,185400.000000,8938.992145,baseline_better
formal_mainline_low_seed1,low,mainline_optimized_mw,acceptance_rate,0.508830,0.503667,0.005163,adaptive_better
formal_mainline_low_seed1,low,mainline_optimized_mw,served_rate,0.508830,0.503667,0.005163,adaptive_better
formal_mainline_low_seed1,low,mainline_optimized_mw,optout_rate,0.491170,0.496333,-0.005163,adaptive_better
formal_mainline_low_seed1,low,mainline_optimized_mw,home_share,0.467991,0.490220,-0.022229,baseline_better
formal_mainline_low_seed1,low,mainline_optimized_mw,meeting_point_uptake_rate,0.040839,0.013447,0.027391,adaptive_better
formal_mainline_low_seed1,low,mainline_optimized_mw,service_time_total,193019.400000,185400.000000,7619.400000,baseline_better
formal_mainline_low_seed1,low,mainline_optimized_fixed_window,net_profit,-193134.759882,-193134.759882,0.000000,tie
formal_mainline_low_seed1,low,mainline_optimized_fixed_window,operational_cost,193019.400000,193019.400000,0.000000,tie
formal_mainline_low_seed1,low,mainline_optimized_fixed_window,total_cost,194338.992145,194338.992145,0.000000,tie
formal_mainline_low_seed1,low,mainline_optimized_fixed_window,acceptance_rate,0.508830,0.508830,0.000000,tie
formal_mainline_low_seed1,low,mainline_optimized_fixed_window,served_rate,0.508830,0.508830,0.000000,tie
