study,robustness_dimension,robustness_setting,method,seed,instance,K,L,demand_setting,outside_option_util,net_profit,adjusted_profit,service_constrained_net_profit,service_guardrail_pass,service_guardrail_violation,service_quit_rate_guardrail,quit_penalty_total,total_cost,quit_rate,opt_out_count,meeting_point_share,avg_walk,menu_regret,top_L_overlap,spearman_cost_ranking,runtime_per_decision,exact_enumerated_menu_count,service_constrained_fallback_rate,service_constrained_predicted_opt_out,service_constrained_adjusted_profit,train_episodes,test_episodes,candidate_pool_size,displayed_meeting_points,home_always_shown,status,notes
work2_demand_robustness,demand,490,Cost-L heuristic,0,RC,10,3,490,0.0,-5123.066509395834,,,,,,,5123.066509395834,0.35294117647058826,,,2066.951871657754,35.01333209901383,1.0,0.04144385026737968,0.03349400905364337,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_demand_robustness,demand,700,Cost-L heuristic,0,RC,10,3,700,0.0,-5123.066509395834,,,,,,,5123.066509395834,0.35294117647058826,,,2066.951871657754,35.01333209901383,1.0,0.04144385026737968,0.033694003992539676,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_demand_robustness,demand,910,Cost-L heuristic,0,RC,10,3,910,0.0,-5123.066509395834,,,,,,,5123.066509395834,0.35294117647058826,,,2066.951871657754,35.01333209901383,1.0,0.04144385026737968,0.03518530710495729,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_demand_robustness,demand,700,Oracle Menu,0,RC,10,3,700,0.0,-5197.413218037367,,,,,,,5197.413218037367,0.37967914438502676,,,1662.673796791444,36.03550233672724,1.0,0.33288770053475936,0.0391628270480722,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_outside_option_robustness,outside_option,0.0,CNN-Menu,0,RC,10,3,700,0.0,-5092.908740146,,,,,,,5092.908740146001,0.34759358288770054,,,2285.133689839572,38.60688526829965,1.0,0.8342245989304813,0.03453520466299618,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_outside_option_robustness,outside_option,0.0,CNN-SetMenuNet,0,RC,10,3,700,0.0,-5197.413218037367,,,,,,,5197.413218037367,0.37967914438502676,,,1662.673796791444,36.03550233672724,1.0,0.33288770053475936,0.038636025897959336,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_outside_option_robustness,outside_option,0.0,Cost-L heuristic,0,RC,10,3,700,0.0,-5123.066509395834,,,,,,,5123.066509395834,0.35294117647058826,,,2066.951871657754,35.01333209901383,1.0,0.04144385026737968,0.033953098689808565,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_outside_option_robustness,outside_option,-0.5,Cost-L heuristic,0,RC,10,3,700,-0.5,-5149.113212610596,,,,,,,5149.113212610596,0.22727272727272727,,,2645.775401069519,37.09226875540129,1.0,0.24331550802139038,0.033378734945613435,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_outside_option_robustness,outside_option,0.5,Cost-L heuristic,0,RC,10,3,700,0.5,-4982.356949595499,,,,,,,4982.356949595499,0.45187165775401067,,,1813.475935828877,28.921042342425416,1.0,0.05080213903743316,0.03323931617532822,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_outside_option_robustness,outside_option,0.0,Oracle Menu,0,RC,10,3,700,0.0,-5197.413218037367,,,,,,,5197.413218037367,0.37967914438502676,,,1662.673796791444,36.03550233672724,1.0,0.33288770053475936,0.038721379749277696,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_cross_instance_robustness,cross_instance,Austin,CNN-Menu,0,Austin,10,3,700,0.0,-1645.342748212134,,,,,,,1645.342748212134,0.11497326203208556,,,351.0427807486631,34.88494112377351,1.0,1.0,0.034478593000116194,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_cross_instance_robustness,cross_instance,Austin,CNN-SetMenuNet,0,Austin,10,3,700,0.0,-1635.6827132243695,,,,,,,1635.6827132243693,0.11764705882352941,,,366.0133689839572,34.09956426243013,1.0,0.7125668449197861,0.03868807509621197,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_cross_instance_robustness,cross_instance,Austin,Cost-L heuristic,0,Austin,10,3,700,0.0,-1673.8445156031353,,,,,,,1673.8445156031353,0.11497326203208556,,,351.13101604278074,34.97390745191989,1.0,0.5868983957219251,0.0345913662629969,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_cross_instance_robustness,cross_instance,Austin,Oracle Menu,0,Austin,10,3,700,0.0,-1635.6827132243695,,,,,,,1635.6827132243693,0.11764705882352941,,,366.0133689839572,34.09956426243013,1.0,0.7125668449197861,0.03894877943763121,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
