study,method,seed,instance,K,L,net_profit,total_cost,quit_rate,avg_walk,menu_regret,top_L_overlap,spearman_cost_ranking,runtime_per_decision,train_episodes,test_episodes,candidate_pool_size,displayed_meeting_points,home_always_shown,status,notes
smoke_work2_main,Oracle Menu,0,RC,10,3,-4.85,4.85,1.0,0.0,0.0,0.0,0.0,0.003252744674682617,1,1,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
smoke_work2_main,CNN-SetMenuNet,0,RC,10,3,-4.85,4.85,1.0,0.0,0.0,0.0,0.0,0.027535438537597656,1,1,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
smoke_work2_main,SetMenuNet,0,RC,10,3,-4.85,4.85,1.0,0.0,0.0,0.0,0.0,0.006887912750244141,1,1,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
smoke_work2_main,CNN-Menu,0,RC,10,3,-4.85,4.85,1.0,0.0,0.0,0.0,0.0,0.0018448829650878906,1,1,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
smoke_work2_main,Cost-L heuristic,0,RC,10,3,-4.85,4.85,1.0,0.0,0.0,0.0,0.0,0.001914381980895996,1,1,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
smoke_work2_main,Nearest-L,0,RC,10,3,-4.85,4.85,1.0,0.0,0.0,0.0,0.0,0.001499772071838379,1,1,10,3,True,ok,"Phase 3 contract row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown."
